Researcher: Maria/Rouven
Subject: Léonard
1; 5; lvl5_1; 0; 3000; P1
2; 5; lvl5_1; 5588; 8588; P2
3; 3; lvl3_3; 9575; 2575; P1
4; 3; lvl3_3; 15041; 8041; P2
5; 8; lvl8_4; 20133; 3133; P1
6; 8; lvl8_4; 25368; 8368; P2
7; 3; lvl3_2; 29709; 2709; P1
8; 3; lvl3_2; 32813; 5813; P2
9; 9; lvl9_2; 38744; 1744; P1
10; 9; lvl9_2; 44193; 7193; P2
11; 7; lvl7_4; 48858; 1858; P1
12; 7; lvl7_4; 52068; 5068; P2
13; 6; lvl6_3; 57521; 521; P1
14; 6; lvl6_3; 63153; 6153; P2
15; 7; lvl7_5; 68604; 1604; P1
16; 7; lvl7_5; 73714; 6714; P2
17; 4; lvl4_6; 78661; 1661; P1
18; 4; lvl4_6; 83665; 6665; P2
19; 6; lvl6_2; 89268; 2268; P1
20; 6; lvl6_2; 94823; 7823; P2
21; 2; lvl2_1; 98471; 1471; P1
22; 2; lvl2_1; 102739; 5739; P2
23; 9; lvl9_4; 107810; 810; P1
24; 9; lvl9_4; 113248; 6248; P2
25; 8; lvl8_6; 118291; 1291; P1
26; 8; lvl8_6; 122139; 5139; P2
27; 5; lvl5_6; 127767; 767; P1
28; 5; lvl5_6; 133740; 6740; P2
29; 9; lvl9_1; 138284; 1284; P1
30; 9; lvl9_1; 143055; 6055; P2
31; 2; lvl2_4; 147873; 873; P1
32; 2; lvl2_4; 152526; 5526; P2
33; 9; lvl9_5; 157242; 242; P1
34; 9; lvl9_5; 162764; 5764; P2
35; 5; lvl5_5; 167619; 619; P1
36; 5; lvl5_5; 173491; 6491; P2
37; 6; lvl6_6; 178058; 1058; P1
38; 6; lvl6_6; 182868; 5868; P2
39; 1; lvl1_5; 187811; 811; P1
40; 1; lvl1_5; 193686; 6686; P2
41; 1; lvl1_2; 197444; 444; P1
42; 1; lvl1_2; 203016; 6016; P2
43; 4; lvl4_2; 207772; 772; P1
44; 4; lvl4_2; 212277; 5277; P2
45; 4; lvl4_1; 218017; 1017; P1
46; 4; lvl4_1; 222353; 5353; P2
47; 2; lvl2_2; 227132; 132; P1
48; 2; lvl2_2; 232951; 5951; P2
49; 8; lvl8_5; 237477; 477; P1
50; 8; lvl8_5; 242990; 5990; P2
51; 7; lvl7_1; 247578; 578; P1
52; 7; lvl7_1; 252588; 5588; P2
53; 3; lvl3_5; 257198; 198; P1
54; 3; lvl3_5; 262105; 5105; P2
55; 10; lvl10_3; 267419; 419; P1
56; 10; lvl10_3; 272700; 5700; P2
57; 3; lvl3_6; 277414; 414; P1
58; 3; lvl3_6; 282966; 5966; P2
59; 10; lvl10_2; 288693; 1693; P1
60; 10; lvl10_2; 293987; 6987; P2
61; 6; lvl6_5; 297175; 175; P1
62; 6; lvl6_5; 302553; 5553; P2
63; 7; lvl7_6; 307799; 799; P1
64; 7; lvl7_6; 312171; 5171; P2
65; 5; lvl5_4; 318147; 1147; P1
66; 5; lvl5_4; 323837; 6837; P2
67; 7; lvl7_2; 327756; 756; P1
68; 7; lvl7_2; 332568; 5568; P2
69; 10; lvl10_1; 337381; 381; P1
70; 10; lvl10_1; 342598; 5598; P2
71; 2; lvl2_6; 347242; 242; P1
72; 2; lvl2_6; 352425; 5425; P2
73; 3; lvl3_4; 357572; 572; P1
74; 3; lvl3_4; 362251; 5251; P2
75; 7; lvl7_3; 367604; 604; P1
76; 7; lvl7_3; 372731; 5731; P2
77; 8; lvl8_3; 377728; 728; P1
78; 8; lvl8_3; 382582; 5582; P2
79; 1; lvl1_3; 387545; 545; P1
80; 1; lvl1_3; 392602; 5602; P2
81; 4; lvl4_3; 397106; 106; P1
82; 4; lvl4_3; 403072; 6072; P2
83; 4; lvl4_5; 407424; 424; P1
84; 4; lvl4_5; 412356; 5356; P2
85; 10; lvl10_6; 417527; 527; P1
86; 10; lvl10_6; 423152; 6152; P2
87; 8; lvl8_2; 427254; 254; P1
88; 8; lvl8_2; 432691; 5691; P2
89; 4; lvl4_4; 438575; 1575; P1
90; 4; lvl4_4; 444250; 7250; P2
91; 6; lvl6_1; 447541; 541; P1
92; 6; lvl6_1; 453230; 6230; P2
93; 8; lvl8_1; 458177; 1177; P1
94; 8; lvl8_1; 463150; 6150; P2
95; 2; lvl2_3; 467258; 258; P1
96; 2; lvl2_3; 472393; 5393; P2
97; 9; lvl9_3; 477336; 336; P1
98; 9; lvl9_3; 482100; 5100; P2
99; 3; lvl3_1; 487302; 302; P1
100; 3; lvl3_1; 492552; 5552; P2
101; 1; lvl1_4; 498341; 1341; P1
102; 1; lvl1_4; 502162; 5162; P2
103; 2; lvl2_5; 507922; 922; P1
104; 2; lvl2_5; 513673; 6673; P2
105; 6; lvl6_4; 518998; 1998; P1
106; 6; lvl6_4; 522037; 5037; P2
107; 5; lvl5_2; 527490; 490; P1
108; 5; lvl5_2; 532356; 5356; P2
109; 9; lvl9_6; 538145; 1145; P1
110; 9; lvl9_6; 544087; 7087; P2
111; 10; lvl10_5; 548549; 1549; P1
112; 10; lvl10_5; 553339; 6339; P2
113; 1; lvl1_1; 559287; 2287; P1
114; 1; lvl1_1; 562578; 5578; P2
115; 5; lvl5_3; 568031; 1031; P1
116; 5; lvl5_3; 573618; 6618; P2
117; 1; lvl1_6; 578109; 1109; P1
118; 1; lvl1_6; 582541; 5541; P2
119; 10; lvl10_4; 587252; 252; P1
120; 10; lvl10_4; 593044; 6044; P2
