--11-Oct-2010 11:30:22
Researcher: Default Researcher
Subject: Unnamed
28; lvl3_1; 133044; 6044; P2
29; lvl9_1; 138460; 1460; P1
30; lvl9_1; 142075; 5075; P2
31; lvl3_3; 147398; 398; P1
32; lvl3_3; 152803; 5803; P2
33; lvl1_1; 157669; 669; P1
34; lvl1_1; 163170; 6170; P2
35; lvl5_3; 167787; 787; P1
36; lvl5_3; 172438; 5438; P2
37; lvl7_4; 178384; 1384; P1
38; lvl7_4; 182527; 5527; P2
39; lvl9_5; 188440; 1440; P1
40; lvl9_5; 193777; 6777; P2
41; lvl10_6; 199328; 2328; P1
42; lvl10_6; 204443; 7443; P2
43; lvl2_5; 210231; 3231; P1
44; lvl2_5; 215620; 8620; P2
45; lvl6_2; 220169; 3169; P1
46; lvl6_2; 224841; 7841; P2
47; lvl9_2; 228331; 1331; P1
48; lvl9_2; 233103; 6103; P2
49; lvl9_4; 237749; 749; P1
50; lvl9_4; 242839; 5839; P2
51; lvl2_1; 247720; 720; P1
52; lvl2_1; 253191; 6191; P2
53; lvl2_4; 257062; 62; P1
54; lvl2_4; 263056; 6056; P2
55; lvl8_4; 268540; 1540; P1
56; lvl8_4; 272786; 5786; P2
57; lvl7_6; 278200; 1200; P1
58; lvl7_6; 283223; 6223; P2
59; lvl1_4; 287713; 713; P1
60; lvl1_4; 292470; 5470; P2
61; lvl7_3; 298423; 1423; P1
62; lvl7_3; 304055; 7055; P2
63; lvl4_3; 308340; 1340; P1
64; lvl4_3; 312262; 5262; P2
65; lvl10_3; 317571; 571; P1
66; lvl10_3; 322213; 5213; P2
67; lvl8_6; 327678; 678; P1
68; lvl8_6; 332505; 5505; P2
69; lvl10_1; 337969; 969; P1
70; lvl10_1; 343572; 6572; P2
71; lvl5_1; 349100; 2100; P1
72; lvl5_1; 354619; 7619; P2
73; lvl5_5; 358435; 1435; P1
74; lvl5_5; 362583; 5583; P2
75; lvl4_2; 367969; 969; P1
76; lvl4_2; 373804; 6804; P2
77; lvl4_4; 379752; 2752; P1
78; lvl4_4; 384819; 7819; P2
79; lvl3_2; 390457; 3457; P1
80; lvl3_2; 394120; 7120; P2
81; lvl7_1; 398204; 1204; P1
82; lvl7_1; 402537; 5537; P2
83; lvl8_2; 407876; 876; P1
84; lvl8_2; 412384; 5384; P2
85; lvl5_4; 417406; 406; P1
86; lvl5_4; 423401; 6401; P2
87; lvl1_5; 427709; 709; P1
88; lvl1_5; 433123; 6123; P2
89; lvl10_4; 439014; 2014; P1
90; lvl10_4; 443824; 6824; P2
91; lvl2_2; 449324; 2324; P1
92; lvl2_2; 452462; 5462; P2
93; lvl1_6; 457462; 462; P1
94; lvl1_6; 462699; 5699; P2
95; lvl10_2; 468356; 1356; P1
96; lvl10_2; 472286; 5286; P2
97; lvl4_6; 477375; 375; P1
98; lvl4_6; 482084; 5084; P2
99; lvl3_5; 487303; 303; P1
100; lvl3_5; 492056; 5056; P2
101; lvl8_1; 497253; 253; P1
102; lvl8_1; 502855; 5855; P2
103; lvl5_6; 507388; 388; P1
104; lvl5_6; 512473; 5473; P2
105; lvl2_3; 518446; 1446; P1
106; lvl2_3; 523399; 6399; P2
107; lvl8_5; 529132; 2132; P1
108; lvl8_5; 532249; 5249; P2
109; lvl6_3; 538092; 1092; P1
110; lvl6_3; 543084; 6084; P2
111; lvl4_5; 547720; 720; P1
112; lvl4_5; 552396; 5396; P2
113; lvl6_6; 558314; 1314; P1
114; lvl6_6; 564255; 7255; P2
115; lvl3_6; 569786; 2786; P1
116; lvl3_6; 575658; 8658; P2
117; lvl6_5; 581271; 4271; P1
118; lvl6_5; 584943; 7943; P2
119; lvl2_6; 588440; 1440; P1
120; lvl2_6; 593128; 6128; P2
--11-Oct-2010 17:41:09
Researcher: Default Researcher
Subject: Unnamed
1; lvl5_1; 0; 3000; P1
2; lvl5_1; 5588; 8588; P2
3; lvl3_3; 9575; 2575; P1
4; lvl3_3; 15041; 8041; P2
5; lvl8_4; 20133; 3133; P1
6; lvl8_4; 25368; 8368; P2
7; lvl3_2; 29709; 2709; P1
8; lvl3_2; 32813; 5813; P2
9; lvl9_2; 38744; 1744; P1
10; lvl9_2; 44193; 7193; P2
11; lvl7_4; 48858; 1858; P1
12; lvl7_4; 52068; 5068; P2
13; lvl6_3; 57521; 521; P1
14; lvl6_3; 63153; 6153; P2
15; lvl7_5; 68604; 1604; P1
16; lvl7_5; 73714; 6714; P2
17; lvl4_6; 78661; 1661; P1
18; lvl4_6; 83665; 6665; P2
19; lvl6_2; 89268; 2268; P1
20; lvl6_2; 94823; 7823; P2
21; lvl2_1; 98471; 1471; P1
22; lvl2_1; 102739; 5739; P2
23; lvl9_4; 107810; 810; P1
24; lvl9_4; 113248; 6248; P2
25; lvl8_6; 118291; 1291; P1
26; lvl8_6; 122139; 5139; P2
27; lvl5_6; 127767; 767; P1
28; lvl5_6; 133740; 6740; P2
29; lvl9_1; 138284; 1284; P1
30; lvl9_1; 143055; 6055; P2
31; lvl2_4; 147873; 873; P1
32; lvl2_4; 152526; 5526; P2
33; lvl9_5; 157242; 242; P1
34; lvl9_5; 162764; 5764; P2
35; lvl5_5; 167619; 619; P1
36; lvl5_5; 173491; 6491; P2
37; lvl6_6; 178058; 1058; P1
38; lvl6_6; 182868; 5868; P2
39; lvl1_5; 187811; 811; P1
40; lvl1_5; 193686; 6686; P2
41; lvl1_2; 197444; 444; P1
42; lvl1_2; 203016; 6016; P2
43; lvl4_2; 207772; 772; P1
44; lvl4_2; 212277; 5277; P2
45; lvl4_1; 218017; 1017; P1
46; lvl4_1; 222353; 5353; P2
47; lvl2_2; 227132; 132; P1
48; lvl2_2; 232951; 5951; P2
49; lvl8_5; 237477; 477; P1
50; lvl8_5; 242990; 5990; P2
51; lvl7_1; 247578; 578; P1
52; lvl7_1; 252588; 5588; P2
53; lvl3_5; 257198; 198; P1
54; lvl3_5; 262105; 5105; P2
55; lvl10_3; 267419; 419; P1
56; lvl10_3; 272700; 5700; P2
57; lvl3_6; 277414; 414; P1
58; lvl3_6; 282966; 5966; P2
59; lvl10_2; 288693; 1693; P1
60; lvl10_2; 293987; 6987; P2
61; lvl6_5; 297175; 175; P1
62; lvl6_5; 302553; 5553; P2
63; lvl7_6; 307799; 799; P1
64; lvl7_6; 312171; 5171; P2
65; lvl5_4; 318147; 1147; P1
66; lvl5_4; 323837; 6837; P2
67; lvl7_2; 327756; 756; P1
68; lvl7_2; 332568; 5568; P2
69; lvl10_1; 337381; 381; P1
70; lvl10_1; 342598; 5598; P2
71; lvl2_6; 347242; 242; P1
72; lvl2_6; 352425; 5425; P2
73; lvl3_4; 357572; 572; P1
74; lvl3_4; 362251; 5251; P2
75; lvl7_3; 367604; 604; P1
76; lvl7_3; 372731; 5731; P2
77; lvl8_3; 377728; 728; P1
78; lvl8_3; 382582; 5582; P2
79; lvl1_3; 387545; 545; P1
80; lvl1_3; 392602; 5602; P2
81; lvl4_3; 397106; 106; P1
82; lvl4_3; 403072; 6072; P2
83; lvl4_5; 407424; 424; P1
84; lvl4_5; 412356; 5356; P2
