--12-Oct-2010 17:45:03
Researcher: MRRBP
Subject: Robert
1; 5; lvl5_5; 0; 3000; P1
2; 5; lvl5_5; 4500; 7500; P2
3; 6; lvl6_2; 10500; 3500; P1
4; 6; lvl6_2; 16500; 9500; P2
5; 10; lvl10_4; 22500; 5500; P1
6; 10; lvl10_4; 28500; 11500; P2
7; 10; lvl10_3; 34500; 7500; P1
8; 10; lvl10_3; 39000; 12000; P2
9; 3; lvl3_1; 45000; 8000; P1
10; 3; lvl3_1; 51000; 14000; P2
11; 6; lvl6_5; 57000; 10000; P1
12; 6; lvl6_5; 63000; 16000; P2
13; 5; lvl5_3; 69000; 12000; P1
14; 5; lvl5_3; 73500; 16500; P2
15; 1; lvl1_3; 78000; 11000; P1
16; 1; lvl1_3; 84000; 17000; P2
17; 2; lvl2_1; 90000; 13000; P1
18; 2; lvl2_1; 96000; 19000; P2
19; 9; lvl9_4; 102000; 15000; P1
20; 9; lvl9_4; 106500; 19500; P2
21; 7; lvl7_1; 111000; 14000; P1
22; 7; lvl7_1; 117000; 20000; P2
23; 2; lvl2_3; 121500; 14500; P1
24; 2; lvl2_3; 127500; 20500; P2
25; 4; lvl4_6; 132000; 15000; P1
26; 4; lvl4_6; 138000; 21000; P2
27; 5; lvl5_1; 144000; 17000; P1
28; 5; lvl5_1; 150000; 23000; P2
29; 5; lvl5_2; 154500; 17500; P1
30; 5; lvl5_2; 159000; 22000; P2
31; 9; lvl9_6; 165000; 18000; P1
32; 9; lvl9_6; 169500; 22500; P2
33; 6; lvl6_4; 175500; 18500; P1
34; 6; lvl6_4; 181500; 24500; P2
35; 7; lvl7_4; 187500; 20500; P1
36; 7; lvl7_4; 192000; 25000; P2
37; 4; lvl4_3; 198000; 21000; P1
38; 4; lvl4_3; 202500; 25500; P2
39; 3; lvl3_4; 207000; 20000; P1
40; 3; lvl3_4; 211500; 24500; P2
41; 10; lvl10_1; 217500; 20500; P1
42; 10; lvl10_1; 223500; 26500; P2
43; 1; lvl1_2; 229500; 22500; P1
44; 1; lvl1_2; 235500; 28500; P2
45; 10; lvl10_6; 241500; 24500; P1
46; 10; lvl10_6; 247500; 30500; P2
47; 5; lvl5_4; 253500; 26500; P1
48; 5; lvl5_4; 259500; 32500; P2
49; 3; lvl3_2; 265500; 28500; P1
50; 3; lvl3_2; 271500; 34500; P2
51; 8; lvl8_1; 277500; 30500; P1
52; 8; lvl8_1; 282000; 35000; P2
53; 4; lvl4_2; 288000; 31000; P1
54; 4; lvl4_2; 292500; 35500; P2
55; 9; lvl9_3; 297000; 30000; P1
56; 9; lvl9_3; 303000; 36000; P2
57; 4; lvl4_4; 309000; 32000; P1
58; 4; lvl4_4; 313500; 36500; P2
59; 8; lvl8_2; 319500; 32500; P1
60; 8; lvl8_2; 324000; 37000; P2
61; 6; lvl6_1; 328500; 31500; P1
62; 6; lvl6_1; 333000; 36000; P2
63; 9; lvl9_1; 337500; 30500; P1
64; 9; lvl9_1; 342000; 35000; P2
65; 2; lvl2_2; 348000; 31000; P1
66; 2; lvl2_2; 352500; 35500; P2
